file,age,gender,race,service_test
train/2.jpg,30-39,Female,Indian,False
train/4.jpg,20-29,Female,Indian,True
train/5.jpg,20-29,Female,Indian,True
train/8.jpg,30-39,Female,Indian,True
train/14.jpg,10-19,Male,Indian,True
train/15.jpg,60-69,Female,Indian,True
train/21.jpg,20-29,Female,Indian,True
train/29.jpg,20-29,Male,Indian,True
train/45.jpg,10-19,Male,Indian,True
train/46.jpg,10-19,Female,Indian,True
train/62.jpg,10-19,Male,Indian,True
train/63.jpg,40-49,Male,Indian,False
train/70.jpg,30-39,Male,Indian,True
train/71.jpg,60-69,Female,Indian,False
train/75.jpg,30-39,Male,Indian,True
train/82.jpg,30-39,Male,Indian,False
train/89.jpg,40-49,Male,Indian,False
train/90.jpg,50-59,Male,Indian,False
train/101.jpg,30-39,Male,Indian,False
train/103.jpg,40-49,Male,Indian,True
train/104.jpg,30-39,Male,Indian,False
train/108.jpg,more than 70,Female,Indian,False
train/111.jpg,40-49,Female,Indian,False
train/119.jpg,40-49,Male,Indian,True
train/124.jpg,0-2,Male,Indian,False
train/128.jpg,20-29,Female,Indian,True
train/136.jpg,50-59,Female,Indian,False
train/143.jpg,30-39,Male,Indian,False
train/149.jpg,50-59,Male,Indian,True
train/159.jpg,30-39,Female,Indian,False
train/174.jpg,60-69,Male,Indian,False
train/175.jpg,20-29,Female,Indian,False
train/188.jpg,3-9,Female,Indian,True
train/198.jpg,10-19,Female,Indian,False
train/200.jpg,10-19,Male,Indian,True
train/208.jpg,30-39,Female,Indian,False
train/217.jpg,40-49,Male,Indian,False
train/228.jpg,20-29,Female,Indian,True
train/237.jpg,30-39,Male,Indian,True
train/240.jpg,20-29,Female,Indian,False
train/242.jpg,20-29,Female,Indian,True
train/247.jpg,20-29,Female,Indian,True
train/249.jpg,10-19,Male,Indian,False
train/273.jpg,30-39,Male,Indian,True
train/277.jpg,3-9,Male,Indian,True
train/281.jpg,30-39,Male,Indian,False
train/305.jpg,30-39,Female,Indian,False
train/315.jpg,30-39,Male,Indian,True
train/319.jpg,10-19,Female,Indian,True
train/321.jpg,3-9,Female,Indian,False
train/328.jpg,50-59,Male,Indian,False
train/338.jpg,3-9,Male,Indian,True
train/342.jpg,40-49,Female,Indian,True
train/343.jpg,20-29,Male,Indian,True
train/349.jpg,40-49,Male,Indian,False
train/364.jpg,3-9,Female,Indian,False
train/365.jpg,10-19,Male,Indian,True
train/368.jpg,20-29,Female,Indian,False
train/375.jpg,30-39,Male,Indian,True
train/393.jpg,10-19,Female,Indian,False
train/401.jpg,40-49,Male,Indian,True
train/403.jpg,30-39,Male,Indian,True
train/404.jpg,30-39,Male,Indian,False
train/415.jpg,30-39,Male,Indian,True
train/425.jpg,20-29,Male,Indian,False
train/432.jpg,60-69,Male,Indian,True
train/437.jpg,0-2,Male,Indian,False
train/439.jpg,20-29,Female,Indian,True
train/445.jpg,20-29,Female,Indian,True
train/467.jpg,20-29,Female,Indian,False
train/478.jpg,20-29,Male,Indian,True
